"id","name","species","class","proj","auc","boyce","threshold","scenario","timestep","sum"
52,"amphibians-Pseudophryne_corroboree-GCM_Ensembles_ssp126_2030","Pseudophryne_corroboree","amphibians","GCM-Ensembles_ssp126_2030",0.9989,0.972,0.0486,"ssp126",2030,306
53,"amphibians-Pseudophryne_corroboree-GCM_Ensembles_ssp126_2050","Pseudophryne_corroboree","amphibians","GCM-Ensembles_ssp126_2050",0.9989,0.972,0.0486,"ssp126",2050,276
54,"amphibians-Pseudophryne_corroboree-GCM_Ensembles_ssp126_2070","Pseudophryne_corroboree","amphibians","GCM-Ensembles_ssp126_2070",0.9989,0.972,0.0486,"ssp126",2070,250
55,"amphibians-Pseudophryne_corroboree-GCM_Ensembles_ssp126_2090","Pseudophryne_corroboree","amphibians","GCM-Ensembles_ssp126_2090",0.9989,0.972,0.0486,"ssp126",2090,246
56,"amphibians-Pseudophryne_corroboree-GCM_Ensembles_ssp245_2030","Pseudophryne_corroboree","amphibians","GCM-Ensembles_ssp245_2030",0.9989,0.972,0.0486,"ssp245",2030,290
57,"amphibians-Pseudophryne_corroboree-GCM_Ensembles_ssp245_2050","Pseudophryne_corroboree","amphibians","GCM-Ensembles_ssp245_2050",0.9989,0.972,0.0486,"ssp245",2050,203
58,"amphibians-Pseudophryne_corroboree-GCM_Ensembles_ssp245_2070","Pseudophryne_corroboree","amphibians","GCM-Ensembles_ssp245_2070",0.9989,0.972,0.0486,"ssp245",2070,147
59,"amphibians-Pseudophryne_corroboree-GCM_Ensembles_ssp245_2090","Pseudophryne_corroboree","amphibians","GCM-Ensembles_ssp245_2090",0.9989,0.972,0.0486,"ssp245",2090,129
60,"amphibians-Pseudophryne_corroboree-GCM_Ensembles_ssp370_2030","Pseudophryne_corroboree","amphibians","GCM-Ensembles_ssp370_2030",0.9989,0.972,0.0486,"ssp370",2030,293
61,"amphibians-Pseudophryne_corroboree-GCM_Ensembles_ssp370_2050","Pseudophryne_corroboree","amphibians","GCM-Ensembles_ssp370_2050",0.9989,0.972,0.0486,"ssp370",2050,199
62,"amphibians-Pseudophryne_corroboree-GCM_Ensembles_ssp370_2070","Pseudophryne_corroboree","amphibians","GCM-Ensembles_ssp370_2070",0.9989,0.972,0.0486,"ssp370",2070,94
63,"amphibians-Pseudophryne_corroboree-GCM_Ensembles_ssp370_2090","Pseudophryne_corroboree","amphibians","GCM-Ensembles_ssp370_2090",0.9989,0.972,0.0486,"ssp370",2090,74
64,"amphibians-Pseudophryne_corroboree-GCM_Ensembles_ssp585_2030","Pseudophryne_corroboree","amphibians","GCM-Ensembles_ssp585_2030",0.9989,0.972,0.0486,"ssp585",2030,311
65,"amphibians-Pseudophryne_corroboree-GCM_Ensembles_ssp585_2050","Pseudophryne_corroboree","amphibians","GCM-Ensembles_ssp585_2050",0.9989,0.972,0.0486,"ssp585",2050,163
66,"amphibians-Pseudophryne_corroboree-GCM_Ensembles_ssp585_2070","Pseudophryne_corroboree","amphibians","GCM-Ensembles_ssp585_2070",0.9989,0.972,0.0486,"ssp585",2070,81
67,"amphibians-Pseudophryne_corroboree-GCM_Ensembles_ssp585_2090","Pseudophryne_corroboree","amphibians","GCM-Ensembles_ssp585_2090",0.9989,0.972,0.0486,"ssp585",2090,39
68,"amphibians-Pseudophryne_corroboree-historic_baseline_1990","Pseudophryne_corroboree","amphibians","historic_baseline_1990",0.9989,0.972,0.0486,"historic_baseline",1990,584
69,"amphibians-Pseudophryne_pengilleyi-GCM_Ensembles_ssp126_2030","Pseudophryne_pengilleyi","amphibians","GCM-Ensembles_ssp126_2030",0.9985,0.94,0.035,"ssp126",2030,547
70,"amphibians-Pseudophryne_pengilleyi-GCM_Ensembles_ssp126_2050","Pseudophryne_pengilleyi","amphibians","GCM-Ensembles_ssp126_2050",0.9985,0.94,0.035,"ssp126",2050,699
71,"amphibians-Pseudophryne_pengilleyi-GCM_Ensembles_ssp126_2070","Pseudophryne_pengilleyi","amphibians","GCM-Ensembles_ssp126_2070",0.9985,0.94,0.035,"ssp126",2070,686
72,"amphibians-Pseudophryne_pengilleyi-GCM_Ensembles_ssp126_2090","Pseudophryne_pengilleyi","amphibians","GCM-Ensembles_ssp126_2090",0.9985,0.94,0.035,"ssp126",2090,500
73,"amphibians-Pseudophryne_pengilleyi-GCM_Ensembles_ssp245_2030","Pseudophryne_pengilleyi","amphibians","GCM-Ensembles_ssp245_2030",0.9985,0.94,0.035,"ssp245",2030,765
74,"amphibians-Pseudophryne_pengilleyi-GCM_Ensembles_ssp245_2050","Pseudophryne_pengilleyi","amphibians","GCM-Ensembles_ssp245_2050",0.9985,0.94,0.035,"ssp245",2050,432
75,"amphibians-Pseudophryne_pengilleyi-GCM_Ensembles_ssp245_2070","Pseudophryne_pengilleyi","amphibians","GCM-Ensembles_ssp245_2070",0.9985,0.94,0.035,"ssp245",2070,582
76,"amphibians-Pseudophryne_pengilleyi-GCM_Ensembles_ssp245_2090","Pseudophryne_pengilleyi","amphibians","GCM-Ensembles_ssp245_2090",0.9985,0.94,0.035,"ssp245",2090,506
77,"amphibians-Pseudophryne_pengilleyi-GCM_Ensembles_ssp370_2030","Pseudophryne_pengilleyi","amphibians","GCM-Ensembles_ssp370_2030",0.9985,0.94,0.035,"ssp370",2030,546
78,"amphibians-Pseudophryne_pengilleyi-GCM_Ensembles_ssp370_2050","Pseudophryne_pengilleyi","amphibians","GCM-Ensembles_ssp370_2050",0.9985,0.94,0.035,"ssp370",2050,473
79,"amphibians-Pseudophryne_pengilleyi-GCM_Ensembles_ssp370_2070","Pseudophryne_pengilleyi","amphibians","GCM-Ensembles_ssp370_2070",0.9985,0.94,0.035,"ssp370",2070,436
80,"amphibians-Pseudophryne_pengilleyi-GCM_Ensembles_ssp370_2090","Pseudophryne_pengilleyi","amphibians","GCM-Ensembles_ssp370_2090",0.9985,0.94,0.035,"ssp370",2090,502
81,"amphibians-Pseudophryne_pengilleyi-GCM_Ensembles_ssp585_2030","Pseudophryne_pengilleyi","amphibians","GCM-Ensembles_ssp585_2030",0.9985,0.94,0.035,"ssp585",2030,745
82,"amphibians-Pseudophryne_pengilleyi-GCM_Ensembles_ssp585_2050","Pseudophryne_pengilleyi","amphibians","GCM-Ensembles_ssp585_2050",0.9985,0.94,0.035,"ssp585",2050,588
83,"amphibians-Pseudophryne_pengilleyi-GCM_Ensembles_ssp585_2070","Pseudophryne_pengilleyi","amphibians","GCM-Ensembles_ssp585_2070",0.9985,0.94,0.035,"ssp585",2070,519
84,"amphibians-Pseudophryne_pengilleyi-GCM_Ensembles_ssp585_2090","Pseudophryne_pengilleyi","amphibians","GCM-Ensembles_ssp585_2090",0.9985,0.94,0.035,"ssp585",2090,465
85,"amphibians-Pseudophryne_pengilleyi-historic_baseline_1990","Pseudophryne_pengilleyi","amphibians","historic_baseline_1990",0.9985,0.94,0.035,"historic_baseline",1990,644
86,"birds-Anthochaera_phrygia-GCM_Ensembles_ssp126_2030","Anthochaera_phrygia","birds","GCM-Ensembles_ssp126_2030",0.9333,0.998,0.2689,"ssp126",2030,9700
87,"birds-Anthochaera_phrygia-GCM_Ensembles_ssp126_2050","Anthochaera_phrygia","birds","GCM-Ensembles_ssp126_2050",0.9333,0.998,0.2689,"ssp126",2050,9615
88,"birds-Anthochaera_phrygia-GCM_Ensembles_ssp126_2070","Anthochaera_phrygia","birds","GCM-Ensembles_ssp126_2070",0.9333,0.998,0.2689,"ssp126",2070,9649
89,"birds-Anthochaera_phrygia-GCM_Ensembles_ssp126_2090","Anthochaera_phrygia","birds","GCM-Ensembles_ssp126_2090",0.9333,0.998,0.2689,"ssp126",2090,9606
90,"birds-Anthochaera_phrygia-GCM_Ensembles_ssp245_2030","Anthochaera_phrygia","birds","GCM-Ensembles_ssp245_2030",0.9333,0.998,0.2689,"ssp245",2030,9738
91,"birds-Anthochaera_phrygia-GCM_Ensembles_ssp245_2050","Anthochaera_phrygia","birds","GCM-Ensembles_ssp245_2050",0.9333,0.998,0.2689,"ssp245",2050,9555
92,"birds-Anthochaera_phrygia-GCM_Ensembles_ssp245_2070","Anthochaera_phrygia","birds","GCM-Ensembles_ssp245_2070",0.9333,0.998,0.2689,"ssp245",2070,9373
93,"birds-Anthochaera_phrygia-GCM_Ensembles_ssp245_2090","Anthochaera_phrygia","birds","GCM-Ensembles_ssp245_2090",0.9333,0.998,0.2689,"ssp245",2090,9267
94,"birds-Anthochaera_phrygia-GCM_Ensembles_ssp370_2030","Anthochaera_phrygia","birds","GCM-Ensembles_ssp370_2030",0.9333,0.998,0.2689,"ssp370",2030,9725
95,"birds-Anthochaera_phrygia-GCM_Ensembles_ssp370_2050","Anthochaera_phrygia","birds","GCM-Ensembles_ssp370_2050",0.9333,0.998,0.2689,"ssp370",2050,9523
96,"birds-Anthochaera_phrygia-GCM_Ensembles_ssp370_2070","Anthochaera_phrygia","birds","GCM-Ensembles_ssp370_2070",0.9333,0.998,0.2689,"ssp370",2070,9077
97,"birds-Anthochaera_phrygia-GCM_Ensembles_ssp370_2090","Anthochaera_phrygia","birds","GCM-Ensembles_ssp370_2090",0.9333,0.998,0.2689,"ssp370",2090,8812
98,"birds-Anthochaera_phrygia-GCM_Ensembles_ssp585_2030","Anthochaera_phrygia","birds","GCM-Ensembles_ssp585_2030",0.9333,0.998,0.2689,"ssp585",2030,9684
99,"birds-Anthochaera_phrygia-GCM_Ensembles_ssp585_2050","Anthochaera_phrygia","birds","GCM-Ensembles_ssp585_2050",0.9333,0.998,0.2689,"ssp585",2050,9485
100,"birds-Anthochaera_phrygia-GCM_Ensembles_ssp585_2070","Anthochaera_phrygia","birds","GCM-Ensembles_ssp585_2070",0.9333,0.998,0.2689,"ssp585",2070,8964
101,"birds-Anthochaera_phrygia-GCM_Ensembles_ssp585_2090","Anthochaera_phrygia","birds","GCM-Ensembles_ssp585_2090",0.9333,0.998,0.2689,"ssp585",2090,8580
102,"birds-Anthochaera_phrygia-historic_baseline_1990","Anthochaera_phrygia","birds","historic_baseline_1990",0.9333,0.998,0.2689,"historic_baseline",1990,10479
103,"birds-Lichenostomus_melanops-GCM_Ensembles_ssp126_2030","Lichenostomus_melanops","birds","GCM-Ensembles_ssp126_2030",0.9279,1,0.195,"ssp126",2030,9960
104,"birds-Lichenostomus_melanops-GCM_Ensembles_ssp126_2050","Lichenostomus_melanops","birds","GCM-Ensembles_ssp126_2050",0.9279,1,0.195,"ssp126",2050,9806
105,"birds-Lichenostomus_melanops-GCM_Ensembles_ssp126_2070","Lichenostomus_melanops","birds","GCM-Ensembles_ssp126_2070",0.9279,1,0.195,"ssp126",2070,9858
106,"birds-Lichenostomus_melanops-GCM_Ensembles_ssp126_2090","Lichenostomus_melanops","birds","GCM-Ensembles_ssp126_2090",0.9279,1,0.195,"ssp126",2090,9799
107,"birds-Lichenostomus_melanops-GCM_Ensembles_ssp245_2030","Lichenostomus_melanops","birds","GCM-Ensembles_ssp245_2030",0.9279,1,0.195,"ssp245",2030,10036
108,"birds-Lichenostomus_melanops-GCM_Ensembles_ssp245_2050","Lichenostomus_melanops","birds","GCM-Ensembles_ssp245_2050",0.9279,1,0.195,"ssp245",2050,9708
109,"birds-Lichenostomus_melanops-GCM_Ensembles_ssp245_2070","Lichenostomus_melanops","birds","GCM-Ensembles_ssp245_2070",0.9279,1,0.195,"ssp245",2070,9465
110,"birds-Lichenostomus_melanops-GCM_Ensembles_ssp245_2090","Lichenostomus_melanops","birds","GCM-Ensembles_ssp245_2090",0.9279,1,0.195,"ssp245",2090,9436
111,"birds-Lichenostomus_melanops-GCM_Ensembles_ssp370_2030","Lichenostomus_melanops","birds","GCM-Ensembles_ssp370_2030",0.9279,1,0.195,"ssp370",2030,9990
112,"birds-Lichenostomus_melanops-GCM_Ensembles_ssp370_2050","Lichenostomus_melanops","birds","GCM-Ensembles_ssp370_2050",0.9279,1,0.195,"ssp370",2050,9640
113,"birds-Lichenostomus_melanops-GCM_Ensembles_ssp370_2070","Lichenostomus_melanops","birds","GCM-Ensembles_ssp370_2070",0.9279,1,0.195,"ssp370",2070,9177
114,"birds-Lichenostomus_melanops-GCM_Ensembles_ssp370_2090","Lichenostomus_melanops","birds","GCM-Ensembles_ssp370_2090",0.9279,1,0.195,"ssp370",2090,8892
115,"birds-Lichenostomus_melanops-GCM_Ensembles_ssp585_2030","Lichenostomus_melanops","birds","GCM-Ensembles_ssp585_2030",0.9279,1,0.195,"ssp585",2030,9921
116,"birds-Lichenostomus_melanops-GCM_Ensembles_ssp585_2050","Lichenostomus_melanops","birds","GCM-Ensembles_ssp585_2050",0.9279,1,0.195,"ssp585",2050,9584
117,"birds-Lichenostomus_melanops-GCM_Ensembles_ssp585_2070","Lichenostomus_melanops","birds","GCM-Ensembles_ssp585_2070",0.9279,1,0.195,"ssp585",2070,9098
118,"birds-Lichenostomus_melanops-GCM_Ensembles_ssp585_2090","Lichenostomus_melanops","birds","GCM-Ensembles_ssp585_2090",0.9279,1,0.195,"ssp585",2090,8694
119,"birds-Lichenostomus_melanops-historic_baseline_1990","Lichenostomus_melanops","birds","historic_baseline_1990",0.9279,1,0.195,"historic_baseline",1990,10894
120,"birds-Neophema_chrysogaster-GCM_Ensembles_ssp126_2030","Neophema_chrysogaster","birds","GCM-Ensembles_ssp126_2030",0.9938,0.954,0.0994,"ssp126",2030,2916
121,"birds-Neophema_chrysogaster-GCM_Ensembles_ssp126_2050","Neophema_chrysogaster","birds","GCM-Ensembles_ssp126_2050",0.9938,0.954,0.0994,"ssp126",2050,2717
122,"birds-Neophema_chrysogaster-GCM_Ensembles_ssp126_2070","Neophema_chrysogaster","birds","GCM-Ensembles_ssp126_2070",0.9938,0.954,0.0994,"ssp126",2070,2588
123,"birds-Neophema_chrysogaster-GCM_Ensembles_ssp126_2090","Neophema_chrysogaster","birds","GCM-Ensembles_ssp126_2090",0.9938,0.954,0.0994,"ssp126",2090,2622
124,"birds-Neophema_chrysogaster-GCM_Ensembles_ssp245_2030","Neophema_chrysogaster","birds","GCM-Ensembles_ssp245_2030",0.9938,0.954,0.0994,"ssp245",2030,2962
125,"birds-Neophema_chrysogaster-GCM_Ensembles_ssp245_2050","Neophema_chrysogaster","birds","GCM-Ensembles_ssp245_2050",0.9938,0.954,0.0994,"ssp245",2050,2691
126,"birds-Neophema_chrysogaster-GCM_Ensembles_ssp245_2070","Neophema_chrysogaster","birds","GCM-Ensembles_ssp245_2070",0.9938,0.954,0.0994,"ssp245",2070,2547
127,"birds-Neophema_chrysogaster-GCM_Ensembles_ssp245_2090","Neophema_chrysogaster","birds","GCM-Ensembles_ssp245_2090",0.9938,0.954,0.0994,"ssp245",2090,2514
128,"birds-Neophema_chrysogaster-GCM_Ensembles_ssp370_2030","Neophema_chrysogaster","birds","GCM-Ensembles_ssp370_2030",0.9938,0.954,0.0994,"ssp370",2030,2859
129,"birds-Neophema_chrysogaster-GCM_Ensembles_ssp370_2050","Neophema_chrysogaster","birds","GCM-Ensembles_ssp370_2050",0.9938,0.954,0.0994,"ssp370",2050,2592
130,"birds-Neophema_chrysogaster-GCM_Ensembles_ssp370_2070","Neophema_chrysogaster","birds","GCM-Ensembles_ssp370_2070",0.9938,0.954,0.0994,"ssp370",2070,2073
131,"birds-Neophema_chrysogaster-GCM_Ensembles_ssp370_2090","Neophema_chrysogaster","birds","GCM-Ensembles_ssp370_2090",0.9938,0.954,0.0994,"ssp370",2090,1608
132,"birds-Neophema_chrysogaster-GCM_Ensembles_ssp585_2030","Neophema_chrysogaster","birds","GCM-Ensembles_ssp585_2030",0.9938,0.954,0.0994,"ssp585",2030,2809
133,"birds-Neophema_chrysogaster-GCM_Ensembles_ssp585_2050","Neophema_chrysogaster","birds","GCM-Ensembles_ssp585_2050",0.9938,0.954,0.0994,"ssp585",2050,2552
134,"birds-Neophema_chrysogaster-GCM_Ensembles_ssp585_2070","Neophema_chrysogaster","birds","GCM-Ensembles_ssp585_2070",0.9938,0.954,0.0994,"ssp585",2070,1967
135,"birds-Neophema_chrysogaster-GCM_Ensembles_ssp585_2090","Neophema_chrysogaster","birds","GCM-Ensembles_ssp585_2090",0.9938,0.954,0.0994,"ssp585",2090,897
136,"birds-Neophema_chrysogaster-historic_baseline_1990","Neophema_chrysogaster","birds","historic_baseline_1990",0.9938,0.954,0.0994,"historic_baseline",1990,2788
137,"birds-Pedionomus_torquatus-GCM_Ensembles_ssp126_2030","Pedionomus_torquatus","birds","GCM-Ensembles_ssp126_2030",0.9673,0.984,0.0875,"ssp126",2030,10275
138,"birds-Pedionomus_torquatus-GCM_Ensembles_ssp126_2050","Pedionomus_torquatus","birds","GCM-Ensembles_ssp126_2050",0.9673,0.984,0.0875,"ssp126",2050,10726
139,"birds-Pedionomus_torquatus-GCM_Ensembles_ssp126_2070","Pedionomus_torquatus","birds","GCM-Ensembles_ssp126_2070",0.9673,0.984,0.0875,"ssp126",2070,10783
140,"birds-Pedionomus_torquatus-GCM_Ensembles_ssp126_2090","Pedionomus_torquatus","birds","GCM-Ensembles_ssp126_2090",0.9673,0.984,0.0875,"ssp126",2090,10713
141,"birds-Pedionomus_torquatus-GCM_Ensembles_ssp245_2030","Pedionomus_torquatus","birds","GCM-Ensembles_ssp245_2030",0.9673,0.984,0.0875,"ssp245",2030,10379
142,"birds-Pedionomus_torquatus-GCM_Ensembles_ssp245_2050","Pedionomus_torquatus","birds","GCM-Ensembles_ssp245_2050",0.9673,0.984,0.0875,"ssp245",2050,10666
143,"birds-Pedionomus_torquatus-GCM_Ensembles_ssp245_2070","Pedionomus_torquatus","birds","GCM-Ensembles_ssp245_2070",0.9673,0.984,0.0875,"ssp245",2070,10953
144,"birds-Pedionomus_torquatus-GCM_Ensembles_ssp245_2090","Pedionomus_torquatus","birds","GCM-Ensembles_ssp245_2090",0.9673,0.984,0.0875,"ssp245",2090,10936
145,"birds-Pedionomus_torquatus-GCM_Ensembles_ssp370_2030","Pedionomus_torquatus","birds","GCM-Ensembles_ssp370_2030",0.9673,0.984,0.0875,"ssp370",2030,10420
146,"birds-Pedionomus_torquatus-GCM_Ensembles_ssp370_2050","Pedionomus_torquatus","birds","GCM-Ensembles_ssp370_2050",0.9673,0.984,0.0875,"ssp370",2050,10892
